City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
338,Harper,LR,76.77,moderate rain,4.375,-7.7169,Screensaver
346,Sao Joao Da Barra,BR,80.69,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
354,Tigzirt,DZ,75.49,few clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
357,Hatillo,PR,89.38,broken clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
367,Chuncheng,CN,79.48,overcast clouds,22.1731,111.7886,7Days Inn Yangjiang Yangchun Bus Terminal
371,Moa,CU,86.77,few clouds,20.6569,-74.9403,Carmen
377,Lubsko,PL,77.88,broken clouds,51.7847,14.972,Duet Hotel i restauracja
379,Mound,US,78.78,broken clouds,44.9366,-93.6661,Sojourn Suites
381,Kirakira,SB,77.56,overcast clouds,-10.4544,161.9205,SanBiz Lodge
382,Dawlatabad,AF,85.69,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
383,Sola,VU,79.83,overcast clouds,-13.8833,167.55,Leumerus Bungalows
386,Marsh Harbour,BS,82.15,clear sky,26.5412,-77.0636,Abaco Beach Resort
389,Ambulu,ID,75.49,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
393,Le Robert,MQ,87.85,broken clouds,14.6775,-60.9392,HARMONY HEBERGEMENT
394,Kahului,US,78.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
396,Pemangkat,ID,76.96,light rain,1.1667,108.9667,Ramah Kost KITA
397,Tupelo,US,89.26,few clouds,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
405,Balabac,PH,81.36,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
408,Am Timan,TD,85.68,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
409,Pitsunda,GE,77.18,clear sky,43.1592,40.3378,Hotel FREEDOM
410,Kavaratti,IN,81.7,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
411,Bandarbeyla,SO,77.63,broken clouds,9.4942,50.8122,JABIR HOTEL
418,Xinxiang,CN,82.04,few clouds,35.3089,113.8672,Guoyu Holiday Inn
419,Mao,ES,81.16,clear sky,39.8885,4.2658,ARTIEM Capri
420,Fayaoue,NC,75.11,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
422,Ketchikan,US,75.52,clear sky,55.3422,-131.6461,Snows Cove Lodge
425,Inirida,CO,84.69,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
426,Zhicheng,CN,79.5,light rain,30.2956,111.5047,Wangjiang Building
431,Madina,GH,80.56,scattered clouds,5.6823,-0.1641,Pekan Hotel
432,Kapoeta,SS,85.03,overcast clouds,4.7717,33.5903,Eastgate Hotel
433,Chinchani,IN,82.54,light rain,19.8667,72.7,Vasantshrushti Farm
437,Tual,ID,81.12,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
442,Ugoofaaru,MV,80.47,heavy intensity rain,5.6667,73.0,Ungoofaaru Inn
443,Butterworth,MY,80.64,scattered clouds,5.3991,100.3638,Cititel Penang
445,La Asuncion,VE,85.73,broken clouds,11.0333,-63.8628,Colinas de Matasiete
450,Bogo,PH,80.65,overcast clouds,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
457,Dhidhdhoo,MV,82.76,overcast clouds,6.8833,73.1,Dhidhoo beach
