City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Shitanjing,CN,2021-06-27 00:20:40,39.2342,106.3439,79.52,15,15,4.27
90,Yala,TH,2021-06-27 00:20:41,6.3333,101.25,77.0,94,20,4.61
91,Grindavik,IS,2021-06-27 00:20:41,63.8424,-22.4338,48.15,100,90,14.97
92,Soe,ID,2021-06-27 00:20:41,-9.8607,124.284,70.88,76,91,7.4
93,Arraial Do Cabo,BR,2021-06-27 00:19:39,-22.9661,-42.0278,71.62,78,38,23.13
94,Cabra,ES,2021-06-27 00:20:42,37.4725,-4.4421,72.9,71,1,3.96
95,Iqaluit,CA,2021-06-27 00:19:31,63.7506,-68.5145,37.13,81,75,5.99
96,Avarua,CK,2021-06-27 00:20:06,-21.2078,-159.775,73.58,72,100,26.51
97,Ingham,US,2021-06-27 00:17:33,42.6,-84.3833,80.94,98,90,6.91
98,Nome,US,2021-06-27 00:19:36,64.5011,-165.4064,58.1,62,40,12.66
99,Victoria,HK,2021-06-27 00:15:57,22.2855,114.1577,87.96,89,98,1.01
100,Katsuura,JP,2021-06-27 00:19:10,35.1333,140.3,78.24,82,100,8.34
101,Rio Bravo,MX,2021-06-27 00:20:42,25.9833,-98.1,90.28,55,20,11.5
102,Kaitangata,NZ,2021-06-27 00:19:33,-46.2817,169.8464,49.46,83,100,5.35
103,Erenhot,CN,2021-06-27 00:20:43,43.6475,111.9767,77.7,36,4,1.36
104,Dikson,RU,2021-06-27 00:19:43,73.5069,80.5464,33.84,80,34,3.24
105,Mar Del Plata,AR,2021-06-27 00:19:27,-38.0023,-57.5575,51.13,72,90,10.0
106,Touros,BR,2021-06-27 00:20:43,-5.1989,-35.4608,77.9,76,15,18.45
107,Dukat,RU,2021-06-27 00:20:44,62.55,155.55,69.58,33,83,6.58
108,Pisco,PE,2021-06-27 00:20:44,-13.7,-76.2167,64.02,82,40,16.11
109,Koumac,NC,2021-06-27 00:20:44,-20.5667,164.2833,74.98,69,90,7.36
110,Talcahuano,CL,2021-06-27 00:20:45,-36.7167,-73.1167,44.28,70,20,5.75
111,Great Yarmouth,GB,2021-06-27 00:20:45,52.6083,1.7305,59.0,94,90,8.05
112,Atuona,PF,2021-06-27 00:20:11,-9.8,-139.0333,78.69,68,46,21.39
113,Meulaboh,ID,2021-06-27 00:20:46,4.1363,96.1285,74.88,91,88,6.22
114,Yellowknife,CA,2021-06-27 00:19:33,62.456,-114.3525,79.32,34,40,18.41
115,Morag,PL,2021-06-27 00:20:46,53.9171,19.926,52.43,91,2,3.24
116,Ponta Delgada,PT,2021-06-27 00:20:46,37.7333,-25.6667,66.2,94,20,5.75
117,Vila Franca Do Campo,PT,2021-06-27 00:20:05,37.7167,-25.4333,66.61,91,84,6.35
118,Ponta Do Sol,PT,2021-06-27 00:20:10,32.6667,-17.1,69.01,73,11,3.0
119,Faanui,PF,2021-06-27 00:19:33,-16.4833,-151.75,80.94,73,3,4.36
120,Naryan-Mar,RU,2021-06-27 00:20:47,67.6713,53.087,45.68,85,100,15.86
121,Coquimbo,CL,2021-06-27 00:20:48,-29.9533,-71.3436,51.8,82,0,4.61
122,Upernavik,GL,2021-06-27 00:19:40,72.7868,-56.1549,37.09,96,100,17.76
123,San Patricio,US,2021-06-27 00:20:48,28.017,-97.5169,88.48,66,56,16.08
124,Hilo,US,2021-06-27 00:19:44,19.7297,-155.09,83.93,64,1,13.8
125,Chuy,UY,2021-06-27 00:20:48,-33.6971,-53.4616,55.83,97,100,4.65
126,Cururupu,BR,2021-06-27 00:20:49,-1.8283,-44.8683,73.63,89,5,2.64
127,Angoche,MZ,2021-06-27 00:20:49,-16.2325,39.9086,69.39,81,0,6.08
128,Port Blair,IN,2021-06-27 00:20:49,11.6667,92.75,81.36,77,96,6.76
129,Klyuchevskiy,RU,2021-06-27 00:20:50,53.5317,119.4519,72.18,60,97,0.94
130,Gandai,IN,2021-06-27 00:20:50,21.6667,81.1,79.56,74,90,4.27
131,Kokstad,ZA,2021-06-27 00:20:50,-30.5472,29.4241,40.98,47,14,3.02
132,Aripuana,BR,2021-06-27 00:20:50,-9.1667,-60.6333,76.57,69,83,0.92
133,Ouesso,CG,2021-06-27 00:20:51,1.6136,16.0517,70.81,89,44,1.68
134,Grand-Lahou,CI,2021-06-27 00:20:51,5.1367,-5.0242,76.75,89,100,5.55
135,Maracacume,BR,2021-06-27 00:20:51,-2.0428,-45.9592,71.98,97,69,3.44
136,Chinsali,ZM,2021-06-27 00:20:52,-10.5414,32.0816,52.95,65,0,5.46
137,Lashio,MM,2021-06-27 00:20:52,22.9333,97.75,69.75,99,100,1.28
138,Thomaston,US,2021-06-27 00:20:52,32.8882,-84.3266,86.49,72,75,1.01
139,Steamboat Springs,US,2021-06-27 00:16:40,40.485,-106.8317,67.93,81,90,9.22
140,Qaanaaq,GL,2021-06-27 00:19:58,77.484,-69.3632,39.78,74,23,2.91
141,Hamilton,US,2021-06-27 00:19:56,39.1834,-84.5333,84.29,63,1,1.01
142,Nazca,PE,2021-06-27 00:20:53,-14.8333,-74.95,67.1,53,5,3.36
143,Malanje,AO,2021-06-27 00:20:53,-9.5402,16.341,64.0,43,6,2.19
144,Cabras,IT,2021-06-27 00:20:54,39.93,8.5314,69.78,64,1,3.51
145,Kendari,ID,2021-06-27 00:20:54,-3.945,122.4989,76.73,92,100,1.21
146,Conway,US,2021-06-27 00:20:54,35.0887,-92.4421,89.44,55,1,12.66
147,Hanyang,CN,2021-06-27 00:20:55,32.1371,105.5126,72.82,84,97,3.83
148,Altamirano,MX,2021-06-27 00:20:55,16.8833,-92.15,60.21,96,100,0.6
149,Manyana,BW,2021-06-27 00:20:08,-23.4,21.7167,49.32,35,0,7.61
150,Butte,US,2021-06-27 00:16:13,39.6499,-121.5677,112.57,8,0,10.87
151,Camden,US,2021-06-27 00:20:55,39.7835,-74.9663,82.4,79,81,1.01
152,Hede,CN,2021-06-27 00:20:56,33.7681,120.2517,78.01,83,100,8.95
153,Hambantota,LK,2021-06-27 00:20:56,6.1241,81.1185,78.91,80,100,17.58
154,Tirano,IT,2021-06-27 00:20:56,46.2154,10.1679,66.7,76,40,3.11
155,Alamogordo,US,2021-06-27 00:20:57,32.8995,-105.9603,98.01,9,1,9.22
156,Anadyr,RU,2021-06-27 00:20:57,64.75,177.4833,50.0,57,0,13.42
157,Pandan,PH,2021-06-27 00:20:58,14.0453,124.1694,83.07,78,81,4.52
158,Sakakah,SA,2021-06-27 00:19:43,29.9697,40.2064,87.37,20,0,10.33
159,Lasa,IT,2021-06-27 00:20:58,46.6166,10.7002,57.02,91,67,1.68
160,Thompson,CA,2021-06-27 00:15:07,55.7435,-97.8558,73.56,31,20,9.22
161,Nantucket,US,2021-06-27 00:18:46,41.2835,-70.0995,74.61,94,96,15.97
162,Karpathos,GR,2021-06-27 00:20:58,35.507,27.2132,78.04,75,0,13.38
163,Vikhorevka,RU,2021-06-27 00:20:59,56.1201,101.1636,58.59,61,51,2.66
164,Marabba,SD,2021-06-27 00:20:59,12.35,32.1833,86.79,49,83,11.36
165,Redondo,PT,2021-06-27 00:21:00,38.6487,-7.5471,68.0,62,27,4.0
166,Porto Belo,BR,2021-06-27 00:21:00,-27.1578,-48.5531,68.0,94,90,7.83
167,Laguna,US,2021-06-27 00:21:00,38.421,-121.4238,106.43,31,1,5.99
168,Alexandria,EG,2021-06-27 00:21:01,31.2156,29.9553,77.74,81,0,7.63
169,Dengzhou,CN,2021-06-27 00:21:01,37.8086,120.7508,74.26,79,93,8.23
170,Leh,IN,2021-06-27 00:21:01,34.1667,77.5833,51.1,57,50,2.68
171,Lata,PT,2021-06-27 00:21:01,40.1629,-8.3327,62.04,98,50,2.8
172,Bosaso,SO,2021-06-27 00:21:02,11.2842,49.1816,91.96,39,46,21.77
173,Senneterre,CA,2021-06-27 00:21:02,48.3835,-77.2328,70.02,98,100,5.44
174,Ust-Tsilma,RU,2021-06-27 00:19:14,65.441,52.1498,55.2,76,95,7.27
175,Geraldton,AU,2021-06-27 00:21:02,-28.7667,114.6,48.61,71,0,20.71
176,Bartica,GY,2021-06-27 00:21:03,6.4,-58.6167,77.32,96,43,2.86
177,Paita,PE,2021-06-27 00:21:03,-5.0892,-81.1144,71.6,83,0,14.97
178,Tazmalt,DZ,2021-06-27 00:21:03,36.3868,4.3989,72.68,61,41,2.28
179,Bengkulu,ID,2021-06-27 00:19:42,-3.8004,102.2655,74.73,89,30,3.89
180,Bonthe,SL,2021-06-27 00:21:04,7.5264,-12.505,76.12,89,94,2.91
181,New Norfolk,AU,2021-06-27 00:21:04,-42.7826,147.0587,53.1,53,87,6.26
182,Sao Filipe,CV,2021-06-27 00:21:05,14.8961,-24.4956,76.19,84,41,5.64
183,Chumikan,RU,2021-06-27 00:21:05,54.7183,135.315,57.49,68,44,1.61
184,Hami,CN,2021-06-27 00:20:12,42.8,93.45,78.67,22,95,5.5
185,Petropavlovsk-Kamchatskiy,RU,2021-06-27 00:21:05,53.0452,158.6483,68.59,40,20,15.66
186,Sinnamary,GF,2021-06-27 00:20:09,5.3833,-52.95,77.43,85,32,8.3
187,Drumheller,CA,2021-06-27 00:20:01,51.4617,-112.7101,90.73,33,5,12.66
188,Ancud,CL,2021-06-27 00:21:06,-41.8697,-73.8203,32.0,18,6,5.99
189,Kapaa,US,2021-06-27 00:19:52,22.0752,-159.319,84.52,65,75,1.01
190,Barcelona,ES,2021-06-27 00:18:07,41.3888,2.159,74.97,82,20,1.01
191,Broome,US,2021-06-27 00:21:06,42.2506,-75.833,81.54,66,1,1.01
192,Manggar,ID,2021-06-27 00:21:07,-2.8833,108.2667,83.08,75,38,7.83
193,Weiser,US,2021-06-27 00:21:07,44.251,-116.9693,101.61,17,0,8.39
194,East Wenatchee Bench,US,2021-06-27 00:21:07,47.4257,-120.2812,106.02,20,1,1.99
195,Provideniya,RU,2021-06-27 00:19:30,64.3833,-173.3,48.09,82,100,7.29
196,Solnechnyy,RU,2021-06-27 00:21:08,50.7214,136.6319,62.83,78,95,3.96
197,Buta,CD,2021-06-27 00:21:08,2.7858,24.73,72.03,78,86,0.96
198,Honningsvag,NO,2021-06-27 00:21:09,70.9821,25.9704,45.55,90,100,6.73
199,Roebourne,AU,2021-06-27 00:21:09,-20.7833,117.1333,66.34,52,97,7.78
200,Nata,PA,2021-06-27 00:21:09,8.3333,-80.5167,76.06,92,99,4.61
201,Kavaratti,IN,2021-06-27 00:21:10,10.5669,72.642,82.0,75,86,15.68
202,Sudislavl,RU,2021-06-27 00:21:10,57.8817,41.7083,64.38,95,89,3.58
203,Pevek,RU,2021-06-27 00:21:10,69.7008,170.3133,43.18,58,100,9.31
204,Aklavik,CA,2021-06-27 00:19:32,68.2191,-135.0107,70.63,38,100,10.51
205,Asau,RO,2021-06-27 00:21:11,46.4333,26.4,65.32,100,31,4.12
206,Nizwa,OM,2021-06-27 00:21:11,22.9333,57.5333,82.11,51,14,0.51
207,Cockburn Town,TC,2021-06-27 00:21:12,21.4612,-71.1419,80.71,79,2,15.82
